player_id,name,position,team_id
CCHAM_MIN,C.Ham,FB,MIN
VVBELL_CIN,V.Bell,SS,CIN
RRDIXON_DEN,R.Dixon,P,DEN
RRSTANLEY_BAL,R.Stanley,T,BAL
JJSIMMONS_ATL,J.Simmons,FS,ATL
TTBOYD_TEN,T.Boyd,WR,TEN
SSDAY_WAS,S.Day,DT,WAS
TTHILL_MIA,T.Hill,WR,MIA
EEELLIOTT_DAL,E.Elliott,RB,DAL
JJIWARD_MIN,Ji.Ward,OLB,MIN
DDONYEMATA_ATL,D.Onyemata,DT,ATL
JJRAMSEY_MIA,J.Ramsey,CB,MIA
AABILLINGS_CHI,A.Billings,DT,CHI
LLFLOYD_SF,L.Floyd,DE,SF
EEOGBAH_MIA,E.Ogbah,DE,MIA
DDPRESCOTT_DAL,D.Prescott,QB,DAL
KKFULLER_MIA,K.Fuller,CB,MIA
HHHENRY_NE,H.Henry,TE,NE
JJBULLARD_MIN,J.Bullard,DE,MIN
JJGOFF_DET,J.Goff,QB,DET
JJHARGRAVE_SF,J.Hargrave,DT,SF
JJBRISSETT_NE,J.Brissett,QB,NE
KKCLARK_GB,K.Clark,DT,GB
MMCOLLINS_SF,M.Collins,DT,SF
KKBYARD_CHI,K.Byard,FS,CHI
JJBOSA_LAC,J.Bosa,DE,LAC
MMALIECOX_IND,M.Alie-Cox,TE,IND
JJMUNDT_MIN,J.Mundt,TE,MIN
RRSANCHEZ_IND,R.Sanchez,P,IND
MMHUMPHREY_BAL,M.Humphrey,CB,BAL
CCSAMUEL_BUF,C.Samuel,WR,BUF
GGKITTLE_SF,G.Kittle,TE,SF
JJELUEMUNOR_NYG,J.Eluemunor,T,NYG
AAJONES_MIN,A.Jones,RB,MIN
CCCLARK_NYJ,C.Clark,SS,NYJ
DDJONES_DEN,D.Jones,NT,DEN
HHBUTKER_KC,H.Butker,K,KC
EERWILSON_GB,Er.Wilson,ILB,GB
TTHILL_NO,T.Hill,TE,NO
AABUTLER_LV,A.Butler,DT,LV
KKMOORE_IND,K.Moore,CB,IND
DDKAZEE_PIT,D.Kazee,SS,PIT
JJALLEN_WAS,J.Allen,DT,WAS
KKKING_ATL,K.King,CB,ATL
SSPERINE_KC,S.Perine,RB,KC
DDWATSON_CLE,D.Watson,QB,CLE
DDTOMLINSON_CLE,D.Tomlinson,DT,CLE
CCAWUZIE_TEN,C.Awuzie,CB,TEN
RRDOUGLAS_BUF,R.Douglas,CB,BUF
JJCONNER_ARI,J.Conner,RB,ARI
MMHOLLINS_BUF,M.Hollins,WR,BUF
JJREEVESMAYBIN_DET,J.Reeves-Maybin,OLB,DET
AAWALKER_MIA,A.Walker,MLB,MIA
EESAUBERT_SF,E.Saubert,TE,SF
XXWOODS_CAR,X.Woods,FS,CAR
DDMOORE_CAR,D.Moore,WR,CAR
CCRUSH_DAL,C.Rush,QB,DAL
AAEKELER_WAS,A.Ekeler,RB,WAS
YYKOO_ATL,Y.Koo,K,ATL
CCJOHNSTON_PIT,C.Johnston,P,PIT
DDWALKER_CHI,D.Walker,DE,CHI
EEJACKSON_BAL,E.Jackson,FS,BAL
JJELLIOTT_PHI,J.Elliott,K,PHI
DDOGUNBOWALE_HOU,D.Ogunbowale,RB,HOU
JJSMITHSCHUSTER_KC,J.Smith-Schuster,WR,KC
JJSMITH_MIA,J.Smith,TE,MIA
DDGODCHAUX_NE,D.Godchaux,NT,NE
MMGARRETT_CLE,M.Garrett,DE,CLE
SSTHOMAS_NYJ,S.Thomas,DT,NYJ
PPMAHOMES_KC,P.Mahomes,QB,KC
MMLATTIMORE_NO,M.Lattimore,CB,NO
DDBARNETT_HOU,D.Barnett,DE,HOU
MMHOOKER_DAL,M.Hooker,FS,DAL
AAJACKSON_NYG,A.Jackson,CB,NYG
EEENGRAM_JAX,E.Engram,TE,JAX
JJPEPPERS_NE,J.Peppers,SS,NE
TTWHITE_LA,T.White,CB,LA
DDNJOKU_CLE,D.Njoku,TE,CLE
TTWATT_PIT,T.Watt,OLB,PIT
CCROBINSON_JAX,C.Robinson,T,JAX
BBBAKER_ARI,B.Baker,SS,ARI
MMWILLIAMS_BAL,M.Williams,FS,BAL
GGEVERETT_CHI,G.Everett,TE,CHI
JJMIXON_HOU,J.Mixon,RB,HOU
DDDAWKINS_BUF,D.Dawkins,T,BUF
LLOGUNJOBI_PIT,L.Ogunjobi,DT,PIT
AAKAMARA_NO,A.Kamara,RB,NO
CCKUPP_LA,C.Kupp,WR,LA
AAANZALONE_DET,A.Anzalone,ILB,DET
CCGODWIN_TB,C.Godwin,WR,TB
SSGRIFFIN_MIN,S.Griffin,CB,MIN
JJJOHNSON_LA,J.Johnson,SS,LA
JJLEWIS_DAL,J.Lewis,CB,DAL
MMADAMS_PIT,M.Adams,NT,PIT
TTHENDRICKSON_CIN,T.Hendrickson,DE,CIN
RRJENKINS_SEA,R.Jenkins,SS,SEA
JJREYNOLDS_DEN,J.Reynolds,WR,DEN
JJAWILLIAMS_NO,Ja.Williams,RB,NO
GGSTEWART_IND,G.Stewart,DT,IND
JJMCNICHOLS_WAS,J.McNichols,RB,WAS
SSDALY_CHI,S.Daly,LS,CHI
GGODUM_SF,G.Odum,FS,SF
CCSHELTON_CHI,C.Shelton,C,CHI
JJWILSON_MIA,J.Wilson,RB,MIA
JJGRAY_NO,J.Gray,SS,NO
KKVICKERS_NO,K.Vickers,DT,NO
WWDISSLY_LAC,W.Dissly,TE,LAC
MMDICKSON_SEA,M.Dickson,P,SEA
DDCARLSON_LV,D.Carlson,K,LV
JJSCOTT_LAC,J.Scott,P,LAC
EEPINEIRO_CAR,E.Pineiro,K,CAR
GGEDWARDS_LAC,G.Edwards,RB,LAC
TTSIEG_DAL,T.Sieg,LS,DAL
MMBOONE_CAR,M.Boone,RB,CAR
PPFORD_LAC,P.Ford,DE,LAC
EECAMPBELL_MIA,E.Campbell,SS,MIA
DDEKUALE_NE,D.Ekuale,DT,NE
JJHOLMES_NYJ,J.Holmes,DE,NYJ
TTCONKLIN_NYJ,T.Conklin,TE,NYJ
MMVALDESSCANTLING_BUF,M.Valdes-Scantling,WR,BUF
FFFATUKASI_HOU,F.Fatukasi,DT,HOU
DDELLIOTT_PIT,D.Elliott,FS,PIT
ZZSIELER_MIA,Z.Sieler,DE,MIA
FFLUVU_WAS,F.Luvu,ILB,WAS
KKSTREET_ATL,K.Street,DT,ATL
DDPAYNE_WAS,D.Payne,DT,WAS
MMDAVENPORT_DET,M.Davenport,OLB,DET
FFRAGNOW_DET,F.Ragnow,C,DET
CCSUTTON_DEN,C.Sutton,WR,DEN
DDGOEDERT_PHI,D.Goedert,TE,PHI
DDJACKSON_PIT,D.Jackson,CB,PIT
TTLEWIS_IND,T.Lewis,DE,IND
LLCARTER_ATL,L.Carter,OLB,ATL
JJREID_KC,J.Reid,SS,KC
JJAKINS_CLE,J.Akins,TE,CLE
JJJEWELL_CAR,J.Jewell,ILB,CAR
DDHAND_MIA,D.Hand,DE,MIA
DDARMSTRONG_WAS,D.Armstrong,DE,WAS
JJWHITEHEAD_TB,J.Whitehead,SS,TB
KKWHITE_ARI,K.White,ILB,ARI
TTAJOHNSON_BUF,Ta.Johnson,CB,BUF
AAMADDOX_PHI,A.Maddox,CB,PHI
JJSWEAT_PHI,J.Sweat,OLB,PHI
DDSCHULTZ_HOU,D.Schultz,TE,HOU
DDREED_NYJ,D.Reed,CB,NYJ
JJBENTLEY_NE,J.Bentley,ILB,NE
JJUWATSON_KC,Ju.Watson,WR,KC
RRMCCLOUD_ATL,R.McCloud,WR,ATL
FFOLUOKUN_JAX,F.Oluokun,ILB,JAX
CCWILSON_NO,C.Wilson,WR,NO
BBBERRIOS_MIA,B.Berrios,WR,MIA
JJMAILATA_PHI,J.Mailata,T,PHI
ZZFRANKLIN_IND,Z.Franklin,OLB,IND
LLCOOKE_JAX,L.Cooke,P,JAX
JJOWENS_CHI,J.Owens,SS,CHI
AALAZARD_NYJ,A.Lazard,WR,NYJ
CCWARD_SF,C.Ward,CB,SF
TTHUDSON_CIN,T.Hudson,TE,CIN
BBPOWELL_MIN,B.Powell,WR,MIN
TTEDMUNDS_CHI,T.Edmunds,ILB,CHI
JJBATES_ATL,J.Bates,FS,ATL
JJJONES_ARI,J.Jones,DT,ARI
RRSPILLANE_LV,R.Spillane,OLB,LV
CCBOJORQUEZ_CLE,C.Bojorquez,P,CLE
NNTHURMAN_CAR,N.Thurman,DT,CAR
JJALEXANDER_GB,J.Alexander,CB,GB
MMHURST_CLE,M.Hurst,DT,CLE
MMANDREWS_BAL,M.Andrews,TE,BAL
KKMILLER_LV,K.Miller,T,LV
NNSHEPHERD_NO,N.Shepherd,DT,NO
VVVEA_TB,V.Vea,NT,TB
CCKIRK_JAX,C.Kirk,WR,JAX
CCDAVIS_DET,C.Davis,CB,DET
IIYIADOM_SF,I.Yiadom,CB,SF
HHPHILLIPS_MIN,H.Phillips,NT,MIN
CCBOARD_BAL,C.Board,ILB,BAL
MMFITZPATRICK_PIT,M.Fitzpatrick,FS,PIT
DDJAMES_LAC,D.James,SS,LAC
JJSANDERS_MIA,J.Sanders,K,MIA
LLJACKSON_BAL,L.Jackson,QB,BAL
JJBAKER_SEA,J.Baker,ILB,SEA
DDSMYTHE_MIA,D.Smythe,TE,MIA
BBHILL_CIN,B.Hill,DT,CIN
JJFRANKLINMYERS_DEN,J.Franklin-Myers,DE,DEN
SSJOSEPH_TEN,S.Joseph,DT,TEN
FFWARNER_SF,F.Warner,MLB,SF
AAKEY_TEN,A.Key,OLB,TEN
DDMOORE_CHI,D.Moore,WR,CHI
HHLANDRY_TEN,H.Landry,OLB,TEN
MMGESICKI_CIN,M.Gesicki,TE,CIN
HHHURST_LAC,H.Hurst,TE,LAC
SSHUBBARD_CIN,S.Hubbard,DE,CIN
CCRIDLEY_TEN,C.Ridley,WR,TEN
MMHUGHES_ATL,M.Hughes,CB,ATL
SSBARKLEY_PHI,S.Barkley,RB,PHI
KKHODGE_ATL,K.Hodge,WR,ATL
BBMAYFIELD_TB,B.Mayfield,QB,TB
DDWARD_CLE,D.Ward,CB,CLE
JJALLEN_BUF,J.Allen,QB,BUF
SSDARNOLD_MIN,S.Darnold,QB,MIN
RRSMITH_BAL,R.Smith,ILB,BAL
SSSIMS_HOU,S.Sims,WR,HOU
MMWISHNOWSKY_SF,M.Wishnowsky,P,SF
JJMEYERS_LV,J.Meyers,WR,LV
RRGARY_GB,R.Gary,DE,GB
DDSAVAGE_JAX,D.Savage,SS,JAX
AAMATTISON_LV,A.Mattison,RB,LV
MMCROSBY_LV,M.Crosby,DE,LV
JJLOVE_SEA,J.Love,SS,SEA
JJHILL_BAL,J.Hill,RB,BAL
FFMOREAU_NO,F.Moreau,TE,NO
EESPEED_IND,E.Speed,OLB,IND
KKHOLLMAN_BAL,K.Hollman,CB,BAL
MMEPPS_LV,M.Epps,SS,LV
TTSUMMERS_NYG,T.Summers,MLB,NYG
QQBELL_MIA,Q.Bell,OLB,MIA
DDFLANNIGANFOWLES_SF,D.Flannigan-Fowles,OLB,SF
